1000	45	43	57	49	44	43	55	58	52	45	48	46
900	60	46	52	42	47	40	50	46	45	55	52	43
800	45	42	41	49	49	45	47	48	46	43	47	47
700	53	72	43	55	44	44	78	49	43	54	43	41
600	40	59	42	46	45	43	54	41	59	41	49	45
500	44	45	58	43	44	69	55	55	79	44	45	47
400	46	64	44	44	49	53	47	48	53	48	49	45
300	57	47	50	44	49	52	44	48	50	47	47	47
200	49	63	63	59	59	47	46	67	50	46	60	58
190	51	45	53	45	57	51	67	54	52	48	62	48
180	50	95	63	56	55	51	87	112	209	48	53	46
170	50	51	62	49	90	50	55	64	51	47	51	46
160	47	150	70	52	61	47	121	76	55	46	46	87
150	57	46	47	47	48	49	49	46	58	57	49	52
140	48	55	47	58	51	77	49	71	58	65	51	47
130	62	107	170	65	236	64	50	61	52	56	72	55
120	77	58	59	50	51	67	65	57	54	51	49	66
110	57	55	139	72	62	47	50	57	53	71	56	48
100	86	50	78	60	84	85	95	60	51	54	55	58
90	88	67	314	78	61	138	52	60	110	68	500	208
80	247	58	54	62	76	76	69	74	62	57	66	64
70	182	75	65	83	62	70	228	84	57	60	55	59
60	951	1692	2132	856	1132	1262	2092	2964	2485	1208	875	678
50	903	1997	2066	2551	3687	3930	inf	inf	inf	inf	inf	inf

